id,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,Month,Day,Time,Distance,days_of_week_onehot_1,days_of_week_onehot_2,days_of_week_onehot_3,days_of_week_onehot_4,days_of_week_onehot_5,days_of_week_onehot_6,days_of_week_onehot_7,date,maximumTemperature,minimumTemperature,averageTemperature,precipitation,snowFall,snowDepth
id2476105,2,1,-73.9792861938477,40.7612380981445,-73.9860916137695,40.7433280944824,1,1097,3,16,14.65,2.07236463713094,0,0,0,1,0,0,0,16-3-2016,65,48,56.5,0.02,0,0
id0321311,2,1,-73.9863128662109,40.7620010375977,-73.9675598144531,40.7602310180664,1,323,6,8,2.66666666666667,1.59165951091675,0,0,0,1,0,0,0,8-6-2016,67,52,59.5,0.45,0,0
id0750032,2,6,-73.9684982299805,40.7996253967285,-73.9832382202148,40.7713775634766,1,667,5,30,11.6166666666667,3.37728419241843,0,1,0,0,0,0,0,30-5-2016,82,68,75,1.65,0,0
id1947097,1,1,-73.9830627441406,40.7563667297363,-73.9775085449219,40.7643852233887,1,118,5,8,22.25,1.00688326297607,1,0,0,0,0,0,0,8-5-2016,66,49,57.5,0.16,0,0
id2310425,1,1,-73.9347915649414,40.7410125732422,-73.9347839355469,40.7409858703613,1,5,6,8,16.8333333333333,0.00303800034071784,0,0,0,1,0,0,0,8-6-2016,67,52,59.5,0.45,0,0
id3655873,2,5,-73.9992599487305,40.7440757751465,-73.9878234863281,40.7495956420898,1,615,3,14,10.2166666666667,1.14232753931942,0,1,0,0,0,0,0,14-3-2016,51,40,45.5,0.29,0,0
id1067948,1,2,-73.9818267822266,40.6668548583984,-73.9818267822266,40.6668586730957,1,22,2,21,2.6,0.000424174982873171,1,0,0,0,0,0,0,21-2-2016,55,44,49.5,0.03,0,0
id0653963,2,3,-73.9641799926758,40.8026161193848,-73.9608612060547,40.8067665100098,1,166,4,18,11.8833333333333,0.539456165935036,0,1,0,0,0,0,0,18-4-2016,82,51,66.5,0,0,0
id3015057,1,1,-73.9935913085938,40.7466888427734,-74.0060958862305,40.7347145080566,1,396,2,20,19.3333333333333,1.69785618663373,0,0,0,0,0,0,1,20-2-2016,61,39,50,0,0,0
id3124264,2,1,-73.8636932373047,40.7695999145508,-73.9485397338867,40.778148651123,1,1221,1,5,16.9833333333333,7.20763788331845,0,0,1,0,0,0,0,5-1-2016,29,11,20,0,0,0
id1630978,2,2,-73.9678726196289,40.7656517028809,-74.0153884887695,40.7111396789551,1,1574,4,5,8.85,7.26414463030091,0,0,1,0,0,0,0,5-4-2016,43,26,34.5,0,0,0
id3302751,1,1,-73.9937591552734,40.7465782165527,-74.0017776489258,40.7562866210938,1,354,2,13,8.63333333333333,1.27341954197628,0,0,0,0,0,0,1,13-2-2016,22,6,14,0,0,0
id3657206,1,1,-73.9787979125977,40.7825355529785,-73.9687805175781,40.764331817627,1,899,4,8,18.0833333333333,2.19289728018678,0,0,0,0,0,1,0,8-4-2016,50,40,45,0.01,0,0
id0207374,2,1,-73.9885787963867,40.7370986938477,-73.9555587768555,40.7766799926758,1,740,5,6,1.03333333333333,5.20635760945051,0,0,0,0,0,1,0,6-5-2016,54,48,51,0.54,0,0
id1311927,2,5,-73.9618225097656,40.7739601135254,-73.9781188964844,40.7576217651367,1,515,5,15,12.0333333333333,2.27687022753414,1,0,0,0,0,0,0,15-5-2016,59,46,52.5,0,0,0
id1387814,2,1,-73.9511871337891,40.7911186218262,-73.9393997192383,40.8051681518555,1,164,5,14,7.65,1.85069896005848,0,0,0,0,0,0,1,14-5-2016,73,56,64.5,0,0,0
id3399904,2,3,-73.9730682373047,40.7441902160645,-73.9757995605469,40.7538681030273,1,249,2,26,6.93333333333333,1.10045357211639,0,0,0,0,0,1,0,26-2-2016,39,27,33,0,0,0
id3199139,1,1,-73.8731231689453,40.7740478515625,-73.9288177490234,40.615478515625,1,2789,6,14,10.9833333333333,18.2466012184372,0,0,1,0,0,0,0,14-6-2016,79,58,68.5,0,0,0
id2531543,2,1,-73.9824142456055,40.7789268493652,-73.99072265625,40.7753219604492,1,288,3,24,12.1166666666667,0.806292529693449,0,0,0,0,1,0,0,24-3-2016,55,44,49.5,0,0,0
id2975374,2,6,-73.9507904052734,40.783317565918,-73.9615325927734,40.7710609436035,1,298,5,12,20.7333333333333,1.63572282810224,0,0,0,0,1,0,0,12-5-2016,80,56,68,0,0,0
id3362329,1,3,-73.9947357177734,40.7249641418457,-73.9922103881836,40.7489891052246,1,544,3,6,3.08333333333333,2.67991366591098,1,0,0,0,0,0,0,6-3-2016,44,32,38,0,0,0
id1138676,2,1,-73.9650802612305,40.7724494934082,-73.9694366455078,40.7677803039551,1,331,2,22,13.25,0.635723402787161,0,1,0,0,0,0,0,22-2-2016,52,38,45,0,0,0
id3610599,1,1,-73.9823226928711,40.7316551208496,-73.9995956420898,40.7284355163574,1,805,4,23,14.7166666666667,1.4988474932997,0,0,0,0,0,0,1,23-4-2016,71,54,62.5,0.16,0,0
id3817314,2,3,-73.9865417480469,40.7428703308105,-73.9711608886719,40.7625885009766,1,361,3,19,8.78333333333333,2.54673816412995,0,0,0,0,0,0,1,19-3-2016,46,36,41,0,0,0
id3026271,1,1,-73.9992065429688,40.761058807373,-73.9898223876953,40.7263679504395,1,1796,6,4,19.45,3.93762653193077,0,0,0,0,0,0,1,4-6-2016,83,66,74.5,0.4,0,0
id0970961,2,1,-73.946891784668,40.7807502746582,-73.9463806152344,40.7955513000488,1,581,6,29,20.6,1.64636148086493,0,0,0,1,0,0,0,29-6-2016,83,67,75,0.01,0,0
id2621971,2,2,-73.9889297485352,40.744068145752,-74.0000610351562,40.7284202575684,1,523,4,5,21.5666666666667,1.9766311056103,0,0,1,0,0,0,0,5-4-2016,43,26,34.5,0,0,0
id2177083,2,5,-73.9844665527344,40.7454071044922,-73.9752960205078,40.758846282959,1,408,2,5,14.9166666666667,1.68221808898828,0,0,0,0,0,1,0,5-2-2016,44,31,37.5,0.53,2.5,1
id2008532,1,4,-74.0072860717773,40.7488594055176,-73.9897003173828,40.7016525268555,1,1543,3,8,16.5166666666667,5.45434237658582,0,0,1,0,0,0,0,8-3-2016,67,47,57,0,0,0
id3719944,2,1,-73.9690399169922,40.7581062316895,-73.9564437866211,40.7629814147949,1,488,3,2,9.13333333333333,1.19137301685581,0,0,0,1,0,0,0,2-3-2016,55,29,42,0.14,0,0
id3234393,1,1,-73.9665603637695,40.7577667236328,-73.9567337036133,40.7810821533203,1,945,3,8,12.5666666666667,2.72142622339668,0,0,1,0,0,0,0,8-3-2016,67,47,57,0,0,0
id2459599,1,1,-74.005485534668,40.7406578063965,-73.9786834716797,40.7242851257324,1,638,2,17,1.7,2.90077446892008,0,0,0,1,0,0,0,17-2-2016,39,35,37,0,0,0
